 SellingPrice ,SellingDate,SiteAreaSF,GrossBldgAreaSF,OfficeSF,MezzanineYes1,YearBuilt,OverheadDoors,LandToBldgArea,PavedParkingSF,FenceYes1
128000,42123,8148,2976,1200,0,1948,1,2.737903226,2500,0
149500,41760,11505,3200,1040,1,1980,3,3.5953125,2500,1
163000,41808,10320,2880,547,0,1978,2,3.583333333,4000,1
122750,40555,6120,3500,500,0,1961,2,1.748571429,2400,0
255000,40787,14015,5400,1196,0,2010,1,2.59537037,5450,0
169000,40669,16616,4000,480,0,1965,2,4.154,12600,1
415000,40723,50094,7500,1000,0,1999,2,6.6792,6400,0
425000,42308,28314,6080,1080,0,2004,1,4.656907895,1800,0
177500,40494,11205,3320,1320,0,2004,2,3.375,5105,0
160000,39609,8160,2000,432,0,2006,1,4.08,2500,0
425000,39623,43995,6000,800,0,2005,1,7.3325,13600,0
137500,39748,11505,3200,1040,1,1980,3,3.5953125,2500,1
185000,39006,17028,5400,768,1,2000,2,3.153333333,2500,0
139900,39123,21896,4000,200,0,2000,3,5.474,4000,0
132000,39036,6950,2560,400,0,2006,1,2.71484375,2420,0
152000,41893,6950,2560,400,0,2006,1,2.71484375,2420,0
395000,41492,27442,6080,1080,0,2004,2,4.513486842,17088,0
400000,39106,31973,8400,2400,1,2004,6,3.806309524,8392,0
450000,40246,31973,8400,2400,1,2004,6,3.806309524,8392,0
145000,39370,8160,2000,500,0,2007,1,4.08,2500,0
,42852,37500,5000,1400,1,2004,5,7.5,5800,0
